epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2019,2.79003,1.89921,1.11427,0.48684,0.39223,0.37007,0.10925,3.20561,4.76289,0.96923,0.000332969,0.000332969,0.067036
2,141.754,2.64486,1.66081,1.06728,0.54029,0.41595,0.43403,0.15434,2.97791,2.50288,0.93781,0.000659706,0.000659706,0.0340294
3,199.299,2.60111,1.59299,1.04953,0.57715,0.45582,0.47841,0.15703,3.08555,2.60113,0.94487,0.000979843,0.000979843,0.00101623
4,255.781,2.54645,1.5352,1.03241,0.58656,0.42811,0.46647,0.14768,2.9579,2.283,0.92503,0.0009703,0.0009703,0.0009703
5,313.218,2.48624,1.48202,1.02639,0.60163,0.45766,0.49181,0.17815,3.02948,2.86541,0.92264,0.0009604,0.0009604,0.0009604
6,370.72,2.46369,1.45308,1.01423,0.56899,0.45511,0.47873,0.16867,3.15225,2.90315,0.92357,0.0009505,0.0009505,0.0009505
7,433.137,2.42864,1.41294,1.00613,0.58167,0.44295,0.47185,0.16836,2.99782,2.60543,0.93041,0.0009406,0.0009406,0.0009406
8,496.193,2.39971,1.38282,1.00167,0.60819,0.47111,0.49925,0.18581,2.79451,2.41522,0.91443,0.0009307,0.0009307,0.0009307
9,555.284,2.38391,1.3671,0.99887,0.62657,0.46366,0.4953,0.18084,2.88259,2.522,0.91376,0.0009208,0.0009208,0.0009208
10,617.719,2.37551,1.35775,0.99337,0.58634,0.45289,0.4818,0.1705,3.04865,2.50074,0.9297,0.0009109,0.0009109,0.0009109
11,677.4,2.36208,1.34089,0.98661,0.59602,0.46073,0.49039,0.17479,2.8321,2.38475,0.92026,0.000901,0.000901,0.000901
12,738.164,2.34306,1.32562,0.98542,0.60377,0.46259,0.48911,0.17094,2.89733,2.50662,0.91958,0.0008911,0.0008911,0.0008911
13,796.413,2.31996,1.30515,0.98297,0.6069,0.4561,0.48504,0.16574,3.00553,2.49115,0.932,0.0008812,0.0008812,0.0008812
14,858.289,2.30909,1.2935,0.98097,0.57951,0.44863,0.47023,0.16711,2.90672,2.48749,0.92093,0.0008713,0.0008713,0.0008713
15,919.076,2.30918,1.28441,0.97479,0.6419,0.45936,0.50086,0.1837,2.96703,2.55309,0.92056,0.0008614,0.0008614,0.0008614
16,979.066,2.28239,1.27495,0.97726,0.61837,0.46809,0.49444,0.17783,2.8552,2.63489,0.92121,0.0008515,0.0008515,0.0008515
17,1037.34,2.28232,1.26589,0.9712,0.62206,0.48511,0.51201,0.18387,2.88202,2.60981,0.91919,0.0008416,0.0008416,0.0008416
