epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0755,2.22764,1.22534,0.96007,0.63367,0.48014,0.5221,0.18823,2.91074,3.1317,0.91127,9.98908e-05,9.98908e-05,0.0501545
2,171.729,2.1816,1.18312,0.94731,0.66125,0.50794,0.55362,0.20149,2.86765,2.90892,0.90991,0.000197912,0.000197912,0.000252497
3,250.004,2.16173,1.16671,0.94651,0.64649,0.50893,0.54317,0.20543,2.86077,3.19402,0.90768,0.00019604,0.00019604,0.00019604
4,330.658,2.16072,1.16356,0.9456,0.65791,0.50826,0.55044,0.20972,2.89868,3.23425,0.91301,0.00019406,0.00019406,0.00019406
5,410.046,2.14333,1.15273,0.94211,0.65361,0.48449,0.52608,0.19216,2.97261,2.93853,0.91621,0.00019208,0.00019208,0.00019208
6,485.582,2.1431,1.14765,0.94111,0.65419,0.50325,0.53891,0.20545,2.79232,3.03391,0.90282,0.0001901,0.0001901,0.0001901
7,558.316,2.1344,1.13853,0.93965,0.67491,0.51378,0.55621,0.20884,2.78019,2.71946,0.89902,0.00018812,0.00018812,0.00018812
8,640.121,2.12478,1.13194,0.93823,0.66709,0.49339,0.54503,0.20417,2.91338,2.95442,0.91629,0.00018614,0.00018614,0.00018614
9,720.453,2.12006,1.12947,0.93676,0.65509,0.49651,0.53536,0.20534,2.9277,2.92685,0.9118,0.00018416,0.00018416,0.00018416
10,802.927,2.1191,1.12591,0.93883,0.65654,0.48498,0.52713,0.19802,2.89183,3.19248,0.92192,0.00018218,0.00018218,0.00018218
11,879.427,2.10533,1.11912,0.93475,0.64532,0.49368,0.53458,0.20534,2.80366,3.25032,0.9159,0.0001802,0.0001802,0.0001802
12,957.024,2.10217,1.11771,0.93396,0.64501,0.50449,0.53873,0.20123,2.82313,2.90922,0.91518,0.00017822,0.00017822,0.00017822
13,1038.32,2.1011,1.11322,0.93361,0.66005,0.48564,0.53106,0.19921,2.78443,2.89182,0.90761,0.00017624,0.00017624,0.00017624
14,1113.96,2.0971,1.10789,0.93292,0.66921,0.50481,0.54666,0.20708,2.78762,3.00631,0.90584,0.00017426,0.00017426,0.00017426
15,1190.47,2.08214,1.09915,0.93139,0.63764,0.48239,0.51983,0.19335,2.82645,3.08728,0.91253,0.00017228,0.00017228,0.00017228
16,1267.42,2.0795,1.10026,0.93147,0.65583,0.48467,0.52513,0.19692,2.84561,2.99952,0.90962,0.0001703,0.0001703,0.0001703
17,1347.54,2.06973,1.09207,0.92978,0.64796,0.49735,0.53875,0.20511,2.83907,3.04264,0.90199,0.00016832,0.00016832,0.00016832
18,1421.32,2.09845,1.10806,0.93178,0.64182,0.48623,0.52287,0.19247,2.88871,3.1641,0.91556,0.00016634,0.00016634,0.00016634
19,1499.89,2.09324,1.10184,0.93229,0.64824,0.49954,0.5357,0.19643,2.93376,2.9492,0.91651,0.00016436,0.00016436,0.00016436
20,1579.36,2.08927,1.10487,0.93291,0.63672,0.5019,0.53273,0.19497,2.84649,2.8933,0.91306,0.00016238,0.00016238,0.00016238
21,1655.72,2.0872,1.09908,0.93196,0.62865,0.50044,0.53123,0.20074,2.83867,2.99161,0.91086,0.0001604,0.0001604,0.0001604
22,1729.54,2.07936,1.094,0.92929,0.60983,0.47772,0.50908,0.18924,2.92608,3.06875,0.91704,0.00015842,0.00015842,0.00015842
23,1809.71,2.07401,1.09089,0.92864,0.63746,0.49391,0.51961,0.18968,2.90984,3.17959,0.9163,0.00015644,0.00015644,0.00015644
